Site	Code	UCode	Type	StateCode	TStart	TStop	ShortName	Name	Location	Longitude	Latitude	Error	Parent	ShortEName	EName	UName
GMS79A	LP3	-	LP	-	1979 Feb	1979 Mar	Shokal'skiy	Shokal'skiy cruise Feb-Mar 1979	Indian Ocean	90.0000	6.0000	1.0000	DVNG	-	-	-
GMS79A	LP4	-	LP	-	1979 Feb	1979 Mar	Shokal'skiy	Shokal'skiy cruise Feb-Mar 1979	Indian Ocean	90.0000	3.0000	1.0000	DVNG	-	-	-
GMS79A	LP5	-	LP	-	1979 Feb	1979 Mar	Shokal'skiy	Shokal'skiy cruise Feb-Mar 1979	Indian Ocean	67.0000	20.0000	1.0000	DVNG	-	-	-
GMS79A	LP6	-	LP	-	1979 Feb	1979 Mar	Shokal'skiy	Shokal'skiy cruise Feb-Mar 1979	Indian Ocean	65.0000	30.0000	1.0000	DVNG	-	-	-
GMS79A	LP7	-	LP	-	1979 Feb	1979 Mar	Shokal'skiy	Shokal'skiy cruise Feb-Mar 1979	Indian Ocean	65.0000	40.0000	1.0000	DVNG	-	-	-
GMS79A	LP8	-	LP	-	1979 Feb	1979 Mar	Shokal'skiy	Shokal'skiy cruise Feb-Mar 1979	Indian Ocean	65.0000	20.0000	1.0000	DVNG	-	-	-
GMS79A	LP9	-	LP	-	1979 Feb	1979 Mar	Shokal'skiy	Shokal'skiy cruise Feb-Mar 1979	Indian Ocean	65.0000	10.0000	1.0000	DVNG	-	-	-
GMS79B	LP1	-	LP	-	1979 Apr	1979 May	Shirshov 79A	Shirsov cruise Apr-May 1979	Indian Ocean	83.0000	0.0000	1.0000	DVNG	-	-	-
GMS79B	LP2	-	LP	-	1979 Apr	1979 May	Shirshov 79A	Shirsov cruise Apr-May 1979	Indian Ocean	78.8200	0.0000	1.0000	DVNG	-	-	-
GMS79B	LP3	-	LP	-	1979 Apr	1979 May	Shirshov 79A	Shirsov cruise Apr-May 1979	Indian Ocean	68.7500	0.0000	1.0000	DVNG	-	-	-
GMS79B	LP4	-	LP	-	1979 Apr	1979 May	Shirshov 79A	Shirsov cruise Apr-May 1979	Indian Ocean	53.3800	0.0000	1.0000	DVNG	-	-	-
GMS79B	LP5	-	LP	-	1979 Apr	1979 May	Shirshov 79A	Shirsov cruise Apr-May 1979	Indian Ocean	54.6200	6.5300	1.0000	DVNG	-	-	-
GMS79B	LP6	-	LP	-	1979 Apr	1979 May	Shirshov 79A	Shirsov cruise Apr-May 1979	Indian Ocean	54.6500	6.5300	1.0000	DVNG	-	-	-
GMS79B	LP7	-	LP	-	1979 Apr	1979 May	Shirshov 79A	Shirsov cruise Apr-May 1979	Indian Ocean	54.8200	6.5000	1.0000	DVNG	-	-	-
GMS79C	LP1	-	LP	-	1979 Apr	1979 May	Korolev 79	1979 Korolev expedition	Indian Ocean	88.0000	0.0000	1.0000	GMS	-	-	-
GMS79C	LP2	-	LP	-	1979 Apr	1979 May	Korolev 79	1979 Korolev expedition	Indian Ocean	87.0000	0.0000	1.0000	GMS	-	-	-
GMS79C	LP3	-	LP	-	1979 Apr	1979 May	Korolev 79	1979 Korolev expedition	Indian Ocean	78.0000	0.0000	1.0000	GMS	-	-	-
GMS79C	LP4	-	LP	-	1979 Apr	1979 May	Korolev 79	1979 Korolev expedition	Indian Ocean	71.0000	0.0000	1.0000	GMS	-	-	-
GMS79C	LP5	-	LP	-	1979 Apr	1979 May	Korolev 79	1979 Korolev expedition	Indian Ocean	58.0000	0.0000	1.0000	GMS	-	-	-
GMS79C	LP6	-	LP	-	1979 Apr	1979 May	Korolev 79	1979 Korolev expedition	Indian Ocean	51.0000	0.0000	1.0000	GMS	-	-	-
GMS79C	LP7	-	LP	-	1979 Apr	1979 May	Korolev 79	1979 Korolev expedition	Indian Ocean	55.0000	6.0000	1.0000	GMS	-	-	-
GMS79C	LP8	-	LP	-	1979 Apr	1979 May	Korolev 79	1979 Korolev expedition	Indian Ocean	77.0000	0.0000	1.0000	GMS	-	-	-
GMS79C	LP9	-	LP	-	1979 Apr	1979 May	Korolev 79	1979 Korolev expedition	Indian Ocean	79.0000	0.0000	1.0000	GMS	-	-	-
GMS79D	LP1	-	LP	-	1979 Apr	1979 Jul	Priliv 79A	Priliv cruise 1979	Indian Ocean	85.0000	2.0000	1.0000	DVNG	-	-	-
GMS79D	LP2	-	LP	-	1979 Apr	1979 Jul	Priliv 79A	Priliv cruise 1979	Indian Ocean	57.0000	4.0000	1.0000	DVNG	-	-	-
GMS79D	LP3	-	LP	-	1979 Apr	1979 Jul	Priliv 79A	Priliv cruise 1979	Indian Ocean	57.0000	3.0000	1.0000	DVNG	-	-	-
GMS79D	LP4	-	LP	-	1979 Apr	1979 Jul	Priliv 79A	Priliv cruise 1979	Indian Ocean	89.0000	15.0000	1.0000	DVNG	-	-	-
GMS79E	LP1	-	LP	-	1979	1979	Musson 79B	Musson cruise 1979B	-	-29.0000	0.0000	1.0000	GMS	-	-	-
GMS79F	LP1	-	LP	-	1979 Jun	1979 Aug	Shokal'skiy	Shokal'skiy cruise Jun-Aug 1979	Pacific Ocean	170.0000	40.0000	1.0000	DVNG	-	-	-
GMS79F	LP10	-	LP	-	1979 Jun	1979 Aug	Shokal'skiy	Shokal'skiy cruise Jun-Aug 1979	Pacific Ocean	179.0000	3.0000	1.0000	DVNG	-	-	-
GMS79F	LP11	-	LP	-	1979 Jun	1979 Aug	Shokal'skiy	Shokal'skiy cruise Jun-Aug 1979	Pacific Ocean	180.0000	5.0000	1.0000	DVNG	-	-	-
GMS79F	LP12	-	LP	-	1979 Jun	1979 Aug	Shokal'skiy	Shokal'skiy cruise Jun-Aug 1979	Pacific Ocean	180.0000	24.0000	1.0000	DVNG	-	-	-
GMS79F	LP13	-	LP	-	1979 Jun	1979 Aug	Shokal'skiy	Shokal'skiy cruise Jun-Aug 1979	Pacific Ocean	180.0000	30.0000	1.0000	DVNG	-	-	-
GMS79F	LP14	-	LP	-	1979 Jun	1979 Aug	Shokal'skiy	Shokal'skiy cruise Jun-Aug 1979	Pacific Ocean	180.0000	34.0000	1.0000	DVNG	-	-	-
GMS79F	LP15	-	LP	-	1979 Jun	1979 Aug	Shokal'skiy	Shokal'skiy cruise Jun-Aug 1979	Pacific Ocean	180.0000	45.0000	1.0000	DVNG	-	-	-
GMS79F	LP2	-	LP	-	1979 Jun	1979 Aug	Shokal'skiy	Shokal'skiy cruise Jun-Aug 1979	Pacific Ocean	180.0000	40.0000	1.0000	DVNG	-	-	-
GMS79F	LP3	-	LP	-	1979 Jun	1979 Aug	Shokal'skiy	Shokal'skiy cruise Jun-Aug 1979	Pacific Ocean	180.0000	19.0000	1.0000	DVNG	-	-	-
GMS79F	LP4	-	LP	-	1979 Jun	1979 Aug	Shokal'skiy	Shokal'skiy cruise Jun-Aug 1979	Pacific Ocean	180.0000	10.0000	1.0000	DVNG	-	-	-
GMS79F	LP5	-	LP	-	1979 Jun	1979 Aug	Shokal'skiy	Shokal'skiy cruise Jun-Aug 1979	Pacific Ocean	180.0000	50.0000	1.0000	DVNG	-	-	-
GMS79F	LP6	-	LP	-	1979 Jun	1979 Aug	Shokal'skiy	Shokal'skiy cruise Jun-Aug 1979	Pacific Ocean	177.0000	-26.0000	1.0000	DVNG	-	-	-
GMS79F	LP7	-	LP	-	1979 Jun	1979 Aug	Shokal'skiy	Shokal'skiy cruise Jun-Aug 1979	Pacific Ocean	180.0000	-30.0000	1.0000	DVNG	-	-	-
GMS79F	LP8	-	LP	-	1979 Jun	1979 Aug	Shokal'skiy	Shokal'skiy cruise Jun-Aug 1979	Pacific Ocean	180.0000	-39.0000	1.0000	DVNG	-	-	-
GMS79F	LP9	-	LP	-	1979 Jun	1979 Aug	Shokal'skiy	Shokal'skiy cruise Jun-Aug 1979	Pacific Ocean	176.0000	-26.0000	1.0000	DVNG	-	-	-
GMS79G	LP1	-	LP	-	1979 Nov	1979 Dec	Ushakov 79	Ushakov cruise 1979	Atlantic Ocean	-30.0000	26.0000	1.0000	GOIG	-	-	-
GMS79G	LP2	-	LP	-	1979 Nov	1979 Dec	Ushakov 79	Ushakov cruise 1979	Atlantic Ocean	-30.0000	26.0000	1.0000	GOIG	-	-	-
GMS79H	LP1	-	LP	-	1979 Nov	1980 Jan	Shokal'skiy	Shokal'skiy cruise Nov 1979-Jan 1980	Indian Ocean	90.0000	-10.0000	1.0000	DVNG	-	-	-
GMS79H	LP2	-	LP	-	1979 Nov	1980 Jan	Shokal'skiy	Shokal'skiy cruise Nov 1979-Jan 1980	Indian Ocean	90.0000	-20.0000	1.0000	DVNG	-	-	-
GMS79H	LP3	-	LP	-	1979 Nov	1980 Jan	Shokal'skiy	Shokal'skiy cruise Nov 1979-Jan 1980	Indian Ocean	90.0000	-9.0000	1.0000	DVNG	-	-	-
GMS79H	LP4	-	LP	-	1979 Nov	1980 Jan	Shokal'skiy	Shokal'skiy cruise Nov 1979-Jan 1980	Pacific Ocean	160.0000	20.0000	1.0000	DVNG	-	-	-
GMS79H	LP5	-	LP	-	1979 Nov	1980 Jan	Shokal'skiy	Shokal'skiy cruise Nov 1979-Jan 1980	Pacific Ocean	160.0000	30.0000	1.0000	DVNG	-	-	-
GMS79J	LP1	-	LP	-	1979 Aug	1980 Feb	Korolev 80	1980 Korolev expedition	Pacific Ocean	160.0000	29.0000	1.0000	GMS	-	-	-
GMS79J	LP2	-	LP	-	1979 Aug	1980 Feb	Korolev 80	1980 Korolev expedition	Pacific Ocean	160.0000	20.0000	1.0000	GMS	-	-	-
GMS79J	LP3	-	LP	-	1979 Aug	1980 Feb	Korolev 80	1980 Korolev expedition	Pacific Ocean	160.0000	15.0000	1.0000	GMS	-	-	-
GMS79J	LP4	-	LP	-	1979 Aug	1980 Feb	Korolev 80	1980 Korolev expedition	Pacific Ocean	160.0000	-3.0000	1.0000	GMS	-	-	-
GMS79J	LP5	-	LP	-	1979 Aug	1980 Feb	Korolev 80	1980 Korolev expedition	Pacific Ocean	163.0000	-40.0000	1.0000	GMS	-	-	-
GMS79J	LP6	-	LP	-	1979 Aug	1980 Feb	Korolev 80	1980 Korolev expedition	Pacific Ocean	-110.0000	-15.0000	1.0000	GMS	-	-	-
GMS79J	LP7	-	LP	-	1979 Aug	1980 Feb	Korolev 80	1980 Korolev expedition	Pacific Ocean	-96.0000	-2.0000	1.0000	GMS	-	-	-
GMS79J	LP8	-	LP	-	1979 Aug	1980 Feb	Korolev 80	1980 Korolev expedition	Pacific Ocean	-103.0000	4.0000	1.0000	GMS	-	-	-
GMS79K	LP1	-	LP	-	1979 Dec	1979 Dec	Volna 79	Volna cruise 1979	Pacific Ocean	160.0000	2.0000	1.0000	DVNG	-	-	-
GMS79K	LP2	-	LP	-	1980 Feb	1980 Feb	Volna 80	Volna cruise 1980	Pacific Ocean	161.0000	2.0000	1.0000	DVNG	-	-	-
GMS80A	LP1	-	LP	-	1980 Feb	1980 Mar	Passat 80	Passat cruise 1980	Atlantic Ocean	-23.0000	48.0000	0.5000	GOIG	-	-	-
GMS80B	LP1	-	LP	-	1980 Feb	1980 Mar	Shirshov 80A	Shirsov cruise Feb-Mar 1980	Pacific Ocean	160.0000	-36.0000	1.0000	DVNG	-	-	-
GMS80B	LP2	-	LP	-	1980 Feb	1980 Mar	Shirshov 80A	Shirsov cruise Feb-Mar 1980	Pacific Ocean	160.0000	15.0000	1.0000	DVNG	-	-	-
GMS80B	LP3	-	LP	-	1980 Feb	1980 Mar	Shirshov 80A	Shirsov cruise Feb-Mar 1980	Pacific Ocean	160.0000	30.0000	1.0000	DVNG	-	-	-
GMS80B	LP4	-	LP	-	1980 Feb	1980 Mar	Shirshov 80A	Shirsov cruise Feb-Mar 1980	Pacific Ocean	160.0000	34.0000	1.0000	DVNG	-	-	-
GMS80C	LP1	-	LP	-	1980	1980	GMS80CLP1	Zubov Expedition 1980 Apr-Jul, 68N-27S, 0-35W	Atlantic Ocean	-3.7000	65.8000	1.0000	GMS	-	-	-
GMS80C	LP2	-	LP	-	1980	1980	GMS80CLP2	Zubov Expedition 1980 Apr-Jul, 68N-27S, 0-35W	Atlantic Ocean	0.0000	68.0000	1.0000	GMS	-	-	-
GMS80C	LP3	-	LP	-	1980	1980	GMS80CLP3	Zubov Expedition 1980 Apr-Jul, 68N-27S, 0-35W	Atlantic Ocean	1.0000	68.3000	1.0000	GMS	-	-	-
GMS80C	ULP1	-	LP	-	1980 Apr	1980 Jul	Zubov 80	1980 Zubov expedition - Unknown locations	Atlantic Ocean				GMS	-	-	-
GMS80D	LP1	-	LP	-	1980 Apr	1980 Jun	Priliv 80A	Priliv cruise 1980	Pacific Ocean	-160.0000	40.0000	1.0000	DVNG	-	-	-
GMS80D	LP2	-	LP	-	1980 Apr	1980 Jun	Priliv 80A	Priliv cruise 1980	Pacific Ocean	-160.0000	36.0000	1.0000	DVNG	-	-	-
GMS80D	LP3	-	LP	-	1980 Apr	1980 Jun	Priliv 80A	Priliv cruise 1980	Pacific Ocean	-160.0000	30.0000	1.0000	DVNG	-	-	-
GMS80D	LP4	-	LP	-	1980 Apr	1980 Jun	Priliv 80A	Priliv cruise 1980	Pacific Ocean	180.0000	5.0000	1.0000	DVNG	-	-	-
GMS80D	LP5	-	LP	-	1980 Apr	1980 Jun	Priliv 80A	Priliv cruise 1980	Pacific Ocean	180.0000	40.0000	1.0000	DVNG	-	-	-
GMS80D	LP6	-	LP	-	1980 Apr	1980 Jun	Priliv 80A	Priliv cruise 1980	Pacific Ocean	180.0000	45.0000	1.0000	DVNG	-	-	-
GMS80E	LP1	-	LP	-	1980 May	1980 Jun	Korolev 80	1980 Korolev expedition	Pacific Ocean	-160.0000	26.0000	1.0000	GMS	-	-	-
GMS80E	LP2	-	LP	-	1980 May	1980 Jun	Korolev 80	1980 Korolev expedition	Pacific Ocean	-160.0000	0.0000	1.0000	GMS	-	-	-
GMS80E	LP3	-	LP	-	1980 May	1980 Jun	Korolev 80	1980 Korolev expedition	Pacific Ocean	-160.0000	1.0000	1.0000	GMS	-	-	-
GMS80E	LP4	-	LP	-	1980 May	1980 Jun	Korolev 80	1980 Korolev expedition	Pacific Ocean	-163.0000	30.0000	1.0000	GMS	-	-	-
GMS80E	LP5	-	LP	-	1980 May	1980 Jun	Korolev 80	1980 Korolev expedition	Pacific Ocean	-162.0000	40.0000	1.0000	GMS	-	-	-
GMS80E	LP6	-	LP	-	1980 May	1980 Jun	Korolev 80	1980 Korolev expedition	Pacific Ocean	-160.0000	50.0000	1.0000	GMS	-	-	-
GMS80F	LP10	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	67.0000	-17.0000	1.0000	DVNG	-	-	-
GMS80F	LP11	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	67.0000	-22.0000	1.0000	DVNG	-	-	-
GMS80F	LP12	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	67.0000	-27.0000	1.0000	DVNG	-	-	-
GMS80F	LP13	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	67.0000	-33.0000	1.0000	DVNG	-	-	-
GMS80F	LP14	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	67.0000	-39.0000	1.0000	DVNG	-	-	-
GMS80F	LP15	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	67.0000	-44.0000	1.0000	DVNG	-	-	-
GMS80F	LP16	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	75.0000	-43.0000	1.0000	DVNG	-	-	-
GMS80F	LP17	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	82.0000	-33.0000	1.0000	DVNG	-	-	-
GMS80F	LP18	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	86.0000	-20.0000	1.0000	DVNG	-	-	-
GMS80F	LP19	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	88.0000	-16.0000	1.0000	DVNG	-	-	-
GMS80F	LP2	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	82.0000	0.0000	1.0000	DVNG	-	-	-
GMS80F	LP20	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	89.0000	-11.0000	1.0000	DVNG	-	-	-
GMS80F	LP3	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	62.0000	0.0000	1.0000	DVNG	-	-	-
GMS80F	LP4	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	67.0000	-5.0000	1.0000	DVNG	-	-	-
GMS80F	LP6	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	65.0000	-15.0000	1.0000	DVNG	-	-	-
GMS80F	LP7	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	67.0000	0.0000	1.0000	DVNG	-	-	-
GMS80F	LP8	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	67.0000	-6.0000	1.0000	DVNG	-	-	-
GMS80F	LP9	-	LP	-	1980 Apr	1980 Jun	Shirshov 80B	Shirsov cruise Apr-Jun 1980	Indian Ocean	67.0000	-11.0000	1.0000	DVNG	-	-	-
GMS81A	LP1	-	LP	-	1981 Feb	1981 Feb	Volna 81	Volna cruise 1981	Southern Ocean	162.0000	-62.0000	1.0000	DVNG	-	-	-
GMS81A	LP2	-	LP	-	1981 Feb	1981 Feb	Volna 81	Volna cruise 1981	Southern Ocean	159.0000	-62.0000	1.0000	DVNG	-	-	-
GMS81A	LP3	-	LP	-	1981 Feb	1981 Feb	Volna 81	Volna cruise 1981	Southern Ocean	155.0000	-62.0000	1.0000	DVNG	-	-	-
GMS81A	LP4	-	LP	-	1981 Feb	1981 Feb	Volna 81	Volna cruise 1981	Southern Ocean	155.0000	-59.0000	1.0000	DVNG	-	-	-
GMS81A	LP5	-	LP	-	1981 Feb	1981 Feb	Volna 81	Volna cruise 1981	Southern Ocean	147.0000	-63.0000	1.0000	DVNG	-	-	-
GMS81A	LP6	-	LP	-	1981 Feb	1981 Feb	Volna 81	Volna cruise 1981	Southern Ocean	147.0000	-60.0000	1.0000	DVNG	-	-	-
GMS81A	LP7	-	LP	-	1981 Feb	1981 Feb	Volna 81	Volna cruise 1981	Southern Ocean	147.0000	-58.0000	1.0000	DVNG	-	-	-
GMS81A	LP8	-	LP	-	1981 Feb	1981 Feb	Volna 81	Volna cruise 1981	Southern Ocean	100.0000	-8.0000	1.0000	DVNG	-	-	-
GMS81B	LP1	-	LP	-	1981 Jan	1981 Apr	Priliv 81A	Priliv cruise 1981	Southern Ocean	172.0000	-62.0000	1.0000	DVNG	-	-	-
GMS81B	LP2	-	LP	-	1981 Jan	1981 Apr	Priliv 81A	Priliv cruise 1981	Southern Ocean	170.0000	-57.0000	1.0000	DVNG	-	-	-
GMS81B	LP3	-	LP	-	1981 Jan	1981 Apr	Priliv 81A	Priliv cruise 1981	Southern Ocean	167.0000	-53.0000	1.0000	DVNG	-	-	-
GMS81B	LP4	-	LP	-	1981 Jan	1981 Apr	Priliv 81A	Priliv cruise 1981	Southern Ocean	150.0000	-55.0000	1.0000	DVNG	-	-	-
GMS81B	LP5	-	LP	-	1981 Jan	1981 Apr	Priliv 81A	Priliv cruise 1981	Southern Ocean	145.0000	-63.0000	1.0000	DVNG	-	-	-
GMS81B	LP6	-	LP	-	1981 Jan	1981 Apr	Priliv 81A	Priliv cruise 1981	Southern Ocean	142.0000	-54.0000	1.0000	DVNG	-	-	-
GMS81B	LP7	-	LP	-	1981 Jan	1981 Apr	Priliv 81A	Priliv cruise 1981	Indian Ocean	90.0000	-33.0000	1.0000	DVNG	-	-	-
GMS81B	LP8	-	LP	-	1981 Jan	1981 Apr	Priliv 81A	Priliv cruise 1981	Indian Ocean	90.0000	-21.0000	1.0000	DVNG	-	-	-
GMS81B	LP9	-	LP	-	1981 Jan	1981 Apr	Priliv 81A	Priliv cruise 1981	Indian Ocean	90.0000	-2.0000	1.0000	DVNG	-	-	-
GMS81C	LP1	-	LP	-	1981 Jan	1981 Mar	Shirshov 81A	Shirsov cruise Jan-Mar 1981	Pacific Ocean	170.0000	13.6800	1.0000	DVNG	-	-	-
GMS81C	LP10	-	LP	-	1981 Jan	1981 Mar	Shirshov 81A	Shirsov cruise Jan-Mar 1981	Pacific Ocean	160.0000	29.0000	1.0000	DVNG	-	-	-
GMS81C	LP11	-	LP	-	1981 Jan	1981 Mar	Shirshov 81A	Shirsov cruise Jan-Mar 1981	Pacific Ocean	160.0000	33.0000	1.0000	DVNG	-	-	-
GMS81C	LP12	-	LP	-	1981 Jan	1981 Mar	Shirshov 81A	Shirsov cruise Jan-Mar 1981	Pacific Ocean	155.0000	34.0000	1.0000	DVNG	-	-	-
GMS81C	LP13	-	LP	-	1981 Jan	1981 Mar	Shirshov 81A	Shirsov cruise Jan-Mar 1981	Pacific Ocean	155.0000	32.0000	1.0000	DVNG	-	-	-
GMS81C	LP14	-	LP	-	1981 Jan	1981 Mar	Shirshov 81A	Shirsov cruise Jan-Mar 1981	Pacific Ocean	152.0000	20.0000	1.0000	DVNG	-	-	-
GMS81C	LP15	-	LP	-	1981 Jan	1981 Mar	Shirshov 81A	Shirsov cruise Jan-Mar 1981	Pacific Ocean	135.0000	12.0000	1.0000	DVNG	-	-	-
GMS81C	LP2	-	LP	-	1981 Jan	1981 Mar	Shirshov 81A	Shirsov cruise Jan-Mar 1981	Pacific Ocean	180.0000	5.0000	1.0000	DVNG	-	-	-
GMS81C	LP3	-	LP	-	1981 Jan	1981 Mar	Shirshov 81A	Shirsov cruise Jan-Mar 1981	Pacific Ocean	179.0000	2.0000	1.0000	DVNG	-	-	-
GMS81C	LP4	-	LP	-	1981 Jan	1981 Mar	Shirshov 81A	Shirsov cruise Jan-Mar 1981	Pacific Ocean	180.0000	4.0000	1.0000	DVNG	-	-	-
GMS81C	LP5	-	LP	-	1981 Jan	1981 Mar	Shirshov 81A	Shirsov cruise Jan-Mar 1981	Pacific Ocean	179.0000	1.4200	1.0000	DVNG	-	-	-
GMS81C	LP6	-	LP	-	1981 Jan	1981 Mar	Shirshov 81A	Shirsov cruise Jan-Mar 1981	Pacific Ocean	165.0000	-5.0000	1.0000	DVNG	-	-	-
GMS81C	LP7	-	LP	-	1981 Jan	1981 Mar	Shirshov 81A	Shirsov cruise Jan-Mar 1981	Pacific Ocean	160.0000	2.0000	1.0000	DVNG	-	-	-
GMS81C	LP8	-	LP	-	1981 Jan	1981 Mar	Shirshov 81A	Shirsov cruise Jan-Mar 1981	Pacific Ocean	160.0000	15.0000	1.0000	DVNG	-	-	-
GMS81C	LP9	-	LP	-	1981 Jan	1981 Mar	Shirshov 81A	Shirsov cruise Jan-Mar 1981	Pacific Ocean	160.0000	25.0000	1.0000	DVNG	-	-	-
GMS81D	LP1	-	LP	-	1980	1980	GMS81DLP1	Zubov Expedition 1981 May-Aug, 76-20N 0-35W	Atlantic Ocean	-12.9800	49.0000	0.5000	GMS	-	-	-
GMS81D	LP2	-	LP	-	1980	1980	GMS81DLP2	Zubov Expedition 1981 May-Aug, 76-20N 0-35W	Atlantic Ocean	-29.6000	44.8300	0.5000	GMS	-	-	-
GMS81D	LP3	-	LP	-	1980	1980	GMS81DLP3	Zubov Expedition 1981 May-Aug, 76-20N 0-35W	Atlantic Ocean	-4.2700	70.0200	0.5000	GMS	-	-	-
GMS81D	LP4	-	LP	-	1980	1980	GMS81DLP4	Zubov Expedition 1981 May-Aug, 76-20N 0-35W	Atlantic Ocean	0.3000	74.6800	0.5000	GMS	-	-	-
GMS81D	LP5	-	LP	-	1980	1980	GMS81DLP5	Zubov Expedition 1981 May-Aug, 76-20N 0-35W	Atlantic Ocean	-35.0000	20.0000	0.5000	GMS	-	-	-
GMS81D	LP6	-	LP	-	1980	1980	GMS81DLP6	Zubov Expedition 1981 May-Aug, 76-20N 0-35W	Atlantic Ocean	-23.0000	29.3000	0.5000	GMS	-	-	-
GMS81D	ULP1	-	LP	-	1981 May	1981 Aug	Zubov 81	1981 Zubov expedition - Unknown locations	Atlantic Ocean				GMS	-	-	-
GMS81E	LP1	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	89.0000	0.0000	1.0000	GMS	-	-	-
GMS81E	LP10	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	65.0000	-39.0000	1.0000	GMS	-	-	-
GMS81E	LP11	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	65.0000	-38.0000	1.0000	GMS	-	-	-
GMS81E	LP12	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	65.0000	-33.0000	1.0000	GMS	-	-	-
GMS81E	LP13	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	65.0000	-27.0000	1.0000	GMS	-	-	-
GMS81E	LP14	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	65.0000	-14.0000	1.0000	GMS	-	-	-
GMS81E	LP15	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	65.0000	-5.0000	1.0000	GMS	-	-	-
GMS81E	LP16	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	65.0000	5.0000	1.0000	GMS	-	-	-
GMS81E	LP17	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	65.0000	10.0000	1.0000	GMS	-	-	-
GMS81E	LP18	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	65.0000	15.0000	1.0000	GMS	-	-	-
GMS81E	LP2	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	80.0000	0.0000	1.0000	GMS	-	-	-
GMS81E	LP20	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	80.0000	0.0000	1.0000	GMS	-	-	-
GMS81E	LP21	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	85.0000	0.0000	1.0000	GMS	-	-	-
GMS81E	LP3	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	70.0000	-15.0000	1.0000	GMS	-	-	-
GMS81E	LP4	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	70.0000	-31.0000	1.0000	GMS	-	-	-
GMS81E	LP5	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	70.0000	-41.0000	1.0000	GMS	-	-	-
GMS81E	LP6	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	70.0000	-42.0000	1.0000	GMS	-	-	-
GMS81E	LP7	-	LP	-	1981 May	1981 Jun	Korolev 81	1981 Korolev expedition	Indian Ocean	70.0000	-47.0000	1.0000	GMS	-	-	-
